Variable	R2	Outlier_set	Run	Dataset
BIO1	0.263083359770584	PCcor_OL_400	1	Schweizer_Wolves
BIO1	0.26471286327017	PCcor_OL_100	1	BlackSpruce
BIO1	0.27457163756801	PCcor_OL_100	4	BlackSpruce
BIO1	0.278834403933171	PCcor_OL_100	3	BlackSpruce
BIO1	0.280757114215062	PCcor_OL_200	5	BlackSpruce
BIO1	0.280918435035519	PCcor_OL_400	5	Schweizer_Wolves
BIO1	0.281708720218708	PCcor_OL_100	5	BlackSpruce
BIO1	0.281765171958892	PCcor_OL_500	2	Schweizer_Wolves
BIO1	0.282907085674615	PCcor_OL_100	2	BlackSpruce
BIO1	0.283234718877968	PCcor_OL_500	1	Schweizer_Wolves
BIO1	0.28363884139432	PCcor_OL_200	1	BlackSpruce
BIO1	0.284569746371003	PCcor_OL_200	3	BlackSpruce
BIO1	0.285374616270604	PCcor_OL_200	4	BlackSpruce
BIO1	0.287904581635298	PCcor_OL_200	2	BlackSpruce
BIO1	0.292295071821805	PCcor_OL_300	4	Schweizer_Wolves
BIO1	0.295111269737771	PCcor_OL_400	3	Schweizer_Wolves
BIO1	0.296019990147597	PCcor_OL_300	5	Schweizer_Wolves
BIO1	0.30166655947372	PCcor_OL_300	1	Schweizer_Wolves
BIO1	0.302016088965963	PCcor_OL_400	2	Schweizer_Wolves
BIO1	0.304688045793004	PCcor_OL_200	5	Schweizer_Wolves
BIO1	0.30488738811454	PCcor_OL_300	1	BlackSpruce
BIO1	0.306327748107873	PCcor_OL_300	2	Schweizer_Wolves
BIO1	0.306989482053727	PCcor_OL_500	3	Schweizer_Wolves
BIO1	0.307973284075444	PCcor_OL_300	4	BlackSpruce
BIO1	0.308552549118735	PCcor_OL_300	3	Schweizer_Wolves
BIO1	0.311871315192513	PCcor_OL_300	2	BlackSpruce
BIO1	0.313373159024263	PCcor_OL_200	2	Schweizer_Wolves
BIO1	0.314049981283834	PCcor_OL_300	3	BlackSpruce
BIO1	0.315138324875232	PCcor_OL_400	4	Schweizer_Wolves
BIO1	0.317138156488436	PCcor_OL_300	5	BlackSpruce
BIO1	0.319916330340787	PCcor_OL_200	1	Schweizer_Wolves
BIO1	0.322174446367434	PCcor_OL_500	4	BlackSpruce
BIO1	0.325170444376864	PCcor_OL_100	5	Schweizer_Wolves
BIO1	0.329747585170679	PCcor_OL_500	5	Schweizer_Wolves
BIO1	0.332174903737647	PCcor_OL_500	4	Schweizer_Wolves
BIO1	0.33374328847112	PCcor_OL_500	1	BlackSpruce
BIO1	0.335124886298416	OL_200	1	BlackSpruce
BIO1	0.336511258218708	PCcor_OL_200	4	Schweizer_Wolves
BIO1	0.336738296355176	PCcor_OL_200	3	Schweizer_Wolves
BIO1	0.336740111125129	PCcor_OL_100	4	Schweizer_Wolves
BIO1	0.338651793262777	PCcor_OL_100	1	Schweizer_Wolves
BIO1	0.341163403501489	OL_200	2	BlackSpruce
BIO1	0.345128178279672	OL_200	4	BlackSpruce
BIO1	0.346953118589083	OL_300	3	BlackSpruce
BIO1	0.347422135321508	OL_300	5	BlackSpruce
BIO1	0.347825560389903	OL_300	1	BlackSpruce
BIO1	0.348146453496074	PCcor_OL_500	5	BlackSpruce
BIO1	0.34932396883116	PCcor_OL_500	3	BlackSpruce
BIO1	0.349395357076315	OL_300	2	BlackSpruce
BIO1	0.349718521047224	OL_500	1	BlackSpruce
BIO1	0.349846644108371	OL_300	4	BlackSpruce
BIO1	0.351354739850007	OL_200	3	BlackSpruce
BIO1	0.352248179061231	OL_200	5	BlackSpruce
BIO1	0.353241319838299	OL_100	3	BlackSpruce
BIO1	0.353455090459401	PCcor_OL_400	5	BlackSpruce
BIO1	0.3538263011488	PCcor_OL_100	3	Schweizer_Wolves
BIO1	0.353915193413294	OL_400	1	BlackSpruce
BIO1	0.354399433076614	PCcor_OL_100	2	Schweizer_Wolves
BIO1	0.356098906738592	PCcor_OL_400	2	BlackSpruce
BIO1	0.356458053703607	OL_100	4	BlackSpruce
BIO1	0.357583674304238	OL_100	5	BlackSpruce
BIO1	0.357954438448646	OL_400	2	BlackSpruce
BIO1	0.358697360068556	OL_500	5	BlackSpruce
BIO1	0.359259821800106	PCcor_OL_400	3	BlackSpruce
BIO1	0.359589651552081	PCcor_OL_400	4	BlackSpruce
BIO1	0.359707885304241	OL_500	3	BlackSpruce
BIO1	0.361695006337665	PCcor_OL_500	2	BlackSpruce
BIO1	0.361798570856018	OL_100	2	BlackSpruce
BIO1	0.362564176772028	OL_100	1	BlackSpruce
BIO1	0.363166978187701	OL_500	2	BlackSpruce
BIO1	0.363728938816683	OL_500	4	BlackSpruce
BIO1	0.364508132183308	OL_400	4	BlackSpruce
BIO1	0.364806056666592	OL_400	5	BlackSpruce
