Var1	Var2	R_Square	Species
PC1	Comp.1	0.0315132710884198	Atlantic salmon
PC1	Comp.2	0.654315657612952	Atlantic salmon
PC1	Comp.3	0.0781080099091798	Atlantic salmon
PC2	Comp.1	0.670026486894389	Atlantic salmon
PC2	Comp.2	0.0529086317357183	Atlantic salmon
PC2	Comp.3	0.0158632339110738	Atlantic salmon
PC3	Comp.1	0.00549506995874507	Atlantic salmon
PC3	Comp.2	0.0281408159050316	Atlantic salmon
PC3	Comp.3	0.00486667910838594	Atlantic salmon
PC4	Comp.1	0.0272731979896422	Atlantic salmon
PC4	Comp.2	0.04307632040132	Atlantic salmon
PC4	Comp.3	0.0271157142753443	Atlantic salmon
PC1	Lat	0.109235476528971	Atlantic salmon
PC2	Lat	0.769784452277348	Atlantic salmon
PC3	Lat	0.000335564430232247	Atlantic salmon
PC4	Lat	0.000558693923233496	Atlantic salmon
PC1	Lon	0.796382443438609	Atlantic salmon
PC2	Lon	0.0201861411345226	Atlantic salmon
PC3	Lon	0.000140012549486495	Atlantic salmon
PC4	Lon	0.0283261805934413	Atlantic salmon
PC1	Comp.1	0.389362701840759	Black spruce
PC1	Comp.2	0.14757296727812	Black spruce
PC1	Comp.3	0.165247655705054	Black spruce
PC2	Comp.1	0.335080017628528	Black spruce
PC2	Comp.2	0.241111918395723	Black spruce
PC2	Comp.3	0.001599675632071	Black spruce
PC3	Comp.1	0.010930578986584	Black spruce
PC3	Comp.2	0.0656702601818886	Black spruce
PC3	Comp.3	0.116987666698152	Black spruce
PC4	Comp.1	0.000469680884908799	Black spruce
PC4	Comp.2	0.000631720306526854	Black spruce
PC4	Comp.3	3.63534015112867E-05	Black spruce
PC1	Lat	0.728627883028744	Black spruce
PC2	Lat	0.000958030982000362	Black spruce
PC3	Lat	0.0491163760476929	Black spruce
PC4	Lat	0.00076552366069868	Black spruce
PC1	Lon	0.805690583970704	Black spruce
PC2	Lon	0.0581922677573438	Black spruce
PC3	Lon	0.0349525756385153	Black spruce
PC4	Lon	0.00133781429536944	Black spruce
PC1	Comp.1	0.533957426164446	Coho salmon
PC1	Comp.2	0.00185907072958544	Coho salmon
PC1	Comp.3	0.165819761267277	Coho salmon
PC2	Comp.1	0.00893284920916352	Coho salmon
PC2	Comp.2	0.550638615579094	Coho salmon
PC2	Comp.3	0.0681214380192645	Coho salmon
PC3	Comp.1	0.217788931964324	Coho salmon
PC3	Comp.2	0.00897079744645486	Coho salmon
PC3	Comp.3	0.00229683425156253	Coho salmon
PC4	Comp.1	0.016899131710303	Coho salmon
PC4	Comp.2	0.109577309325576	Coho salmon
PC4	Comp.3	0.00921825725384342	Coho salmon
PC1	Lat	0.0207591855436922	Coho salmon
PC2	Lat	0.706927497527951	Coho salmon
PC3	Lat	0.0421309294570819	Coho salmon
PC4	Lat	0.0656884124951272	Coho salmon
PC1	Lon	0.530850768355535	Coho salmon
PC2	Lon	0.285996857947192	Coho salmon
PC3	Lon	0.0455408197505509	Coho salmon
PC4	Lon	0.0534700491414378	Coho salmon
PC1	Comp.1	0.575136839705619	Atlantic cod
PC1	Comp.2	0.0384538449302659	Atlantic cod
PC1	Comp.3	0.0109603924308301	Atlantic cod
PC2	Comp.1	0.015130115395389	Atlantic cod
PC2	Comp.2	0.160971178592754	Atlantic cod
PC2	Comp.3	0.0271121880638945	Atlantic cod
PC3	Comp.1	7.02731251513196E-05	Atlantic cod
PC3	Comp.2	0.000943579758774545	Atlantic cod
PC3	Comp.3	0.0226592715230391	Atlantic cod
PC4	Comp.1	7.4273339047047E-06	Atlantic cod
PC4	Comp.2	0.00335930145700355	Atlantic cod
PC4	Comp.3	9.79817580168894E-07	Atlantic cod
PC1	Lat	0.53658919700591	Atlantic cod
PC2	Lat	0.0209192491013418	Atlantic cod
PC3	Lat	0.0212315453619424	Atlantic cod
PC4	Lat	0.00834117314065528	Atlantic cod
PC1	Lon	0.485104757665421	Atlantic cod
PC2	Lon	0.0826500266381142	Atlantic cod
PC3	Lon	0.00186013944632392	Atlantic cod
PC4	Lon	0.00197298599828923	Atlantic cod
PC1	Comp.1	0.936276143134485	Arctic charr
PC1	Comp.2	0.0249484405440229	Arctic charr
PC1	Comp.3	0.00157252229526826	Arctic charr
PC2	Comp.1	0.00399747779024114	Arctic charr
PC2	Comp.2	0.370506839545829	Arctic charr
PC2	Comp.3	0.0264672947214368	Arctic charr
PC3	Comp.1	0.00362432257619337	Arctic charr
PC3	Comp.2	0.0856209932967849	Arctic charr
PC3	Comp.3	0.032377296512643	Arctic charr
PC4	Comp.1	0.000374697181467829	Arctic charr
PC4	Comp.2	0.000431376435397315	Arctic charr
PC4	Comp.3	0.0908293809747868	Arctic charr
PC1	Lat	0.954358195361275	Arctic charr
PC2	Lat	0.000233480011297155	Arctic charr
PC3	Lat	0.000641766073952658	Arctic charr
PC4	Lat	0.00524241013228505	Arctic charr
PC1	Lon	0.881138169697635	Arctic charr
PC2	Lon	0.0470979302278574	Arctic charr
PC3	Lon	0.0254850516694642	Arctic charr
PC4	Lon	0.000240427096831895	Arctic charr
PC1	Comp.1	0.000264040798294038	Lodgepole pine
PC1	Comp.2	0.0763704235519025	Lodgepole pine
PC1	Comp.3	0.0123599959632731	Lodgepole pine
PC2	Comp.1	0.12147680451032	Lodgepole pine
PC2	Comp.2	0.0380079916629501	Lodgepole pine
PC2	Comp.3	0.0127789980391326	Lodgepole pine
PC3	Comp.1	0.1420603994771	Lodgepole pine
PC3	Comp.2	0.00327117028338983	Lodgepole pine
PC3	Comp.3	0.00592447279005018	Lodgepole pine
PC4	Comp.1	0.0650136613973909	Lodgepole pine
PC4	Comp.2	0.0214520171658352	Lodgepole pine
PC4	Comp.3	0.00423139939347347	Lodgepole pine
PC1	Lat	0.171089258964391	Lodgepole pine
PC2	Lat	0.00211604236267721	Lodgepole pine
PC3	Lat	0.185660457253299	Lodgepole pine
PC4	Lat	0.038204985119051	Lodgepole pine
PC1	Lon	0.15794893445515	Lodgepole pine
PC2	Lon	0.479811228784999	Lodgepole pine
PC3	Lon	0.000226166823044612	Lodgepole pine
PC4	Lon	0.00390925572895547	Lodgepole pine
PC1	Comp.1	0.509850244518999	Sea scallop
PC1	Comp.2	0.0640585794067076	Sea scallop
PC1	Comp.3	0.00174101125344215	Sea scallop
PC2	Comp.1	0.0815115313164249	Sea scallop
PC2	Comp.2	0.0100232321321461	Sea scallop
PC2	Comp.3	0.0701576724475814	Sea scallop
PC3	Comp.1	0.00210243970270452	Sea scallop
PC3	Comp.2	0.000270977171655394	Sea scallop
PC3	Comp.3	0.0103438237896528	Sea scallop
PC4	Comp.1	9.99022167663911E-06	Sea scallop
PC4	Comp.2	0.00188273367139187	Sea scallop
PC4	Comp.3	0.00197028441739839	Sea scallop
PC1	Lat	0.539832069982547	Sea scallop
PC2	Lat	0.0195126552411449	Sea scallop
PC3	Lat	0.000141002279414928	Sea scallop
PC4	Lat	0.00151574608254762	Sea scallop
PC1	Lon	0.61004490256825	Sea scallop
PC2	Lon	0.000453113092026932	Sea scallop
PC3	Lon	0.00278842459250682	Sea scallop
PC4	Lon	0.000645791479029906	Sea scallop
PC1	Comp.1	0.000138916004208428	American gray wolf
PC1	Comp.2	0.00505822598708425	American gray wolf
PC1	Comp.3	0.14975241862318	American gray wolf
PC2	Comp.1	0.336041200864357	American gray wolf
PC2	Comp.2	0.33145751313906	American gray wolf
PC2	Comp.3	0.00587702687532132	American gray wolf
PC3	Comp.1	0.546502606645898	American gray wolf
PC3	Comp.2	0.257013578685445	American gray wolf
PC3	Comp.3	0.0330891481833978	American gray wolf
PC4	Comp.1	0.00436926280135829	American gray wolf
PC4	Comp.2	0.0365455224009323	American gray wolf
PC4	Comp.3	0.0021801007337299	American gray wolf
PC1	Lat	0.154870954070797	American gray wolf
PC2	Lat	0.405938203273956	American gray wolf
PC3	Lat	0.0195848020645222	American gray wolf
PC4	Lat	0.0475685281025952	American gray wolf
PC1	Lon	0.524033183087109	American gray wolf
PC2	Lon	0.225296058359622	American gray wolf
PC3	Lon	0.0108599077960244	American gray wolf
PC4	Lon	0.0142334561969771	American gray wolf
