conf_level	genetic_arch	n_simulations	med_FNR_RDA	med_FPR_RDA	med_FNR_pRDA	med_FPR_pRDA	med_FNR_LFMM	med_FPR_LFMM	med_n_causal	med_effect	med_confounding
Extreme Confounding	Oligogenic	507	0.285714286	0.995683453	0.5	0.996373527	0.5	0.924242424	6	0.678857407	0.971831178
Extreme Confounding	Moderately polygenic	508	0.795918367	0.9906778055	0.868922874	0.9930735465	0.888888889	0.823529412	40	0.420729069	0.9730779105
Extreme Confounding	Polygenic	497	0.964506173	0.985427029	0.974607013	0.987730061	1	0.875	378	0.335583217	0.97214278
High Confounding	Oligogenic	44	0.236111111	0.9897514765	0.3875	0.993384584	0.6	0.842105263	5.5	0.5599545745	0.7293802845
High Confounding	Moderately polygenic	34	0.735163031	0.9802523335	0.8640552995	0.989153962	0.8864285715	0.727272727	30.5	0.379723202	0.694820042
High Confounding	Polygenic	55	0.952513966	0.975254731	0.981762918	0.9875	1	0.733333333	291	0.279281815	0.708658342
Moderate Confounding	Oligogenic	48	0.211111111	0.9930672	0.4365079365	0.9951300675	0.5	0.8733333335	4	0.576299687	0.426806587
Moderate Confounding	Moderately polygenic	71	0.771929825	0.984667802	0.85	0.991792066	0.941176471	0.7886904765	35	0.345867714	0.433980425
Moderate Confounding	Polygenic	60	0.95685029	0.9717097665	0.9748292105	0.986718393	1	0.666666667	290	0.2646735915	0.42476485
Low Confounding	Oligogenic	144	0.2	0.994099172	0.4	0.9954951295	0.5	0.857142857	4	0.653207299	0.10544189
Low Confounding	Moderately polygenic	129	0.764705882	0.987447699	0.8625	0.991101985	0.96875	0.736842105	36	0.312326716	0.090695576
Low Confounding	Polygenic	153	0.963157895	0.980519481	0.975124378	0.98677686	1	0.666666667	366	0.237999544	0.098335062
